146, Kono Minikuku mo Utsukushii Sekai, TV, Original, 12, 2004-04-02, 24 min. per ep., R+ - Mild Nudity, 6.87, 4039, 23170, 1603, 46925, 165, 2, "Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi, ", 1585, 30093, 1723, 2065, 11459, 46925
148, Kita e.: Diamond Dust Drops, TV, Visual novel, 12, 2004-01-20, 24 min. per ep., PG-13 - Teens 13 or older, 6.72, 4668, 1939, 4364, 6598, 8, 4, "Drama, Romance, Slice of Life, ", 292, 2416, 315, 356, 3219, 6598
150, Blood+, TV, Original, 50, 2005-10-08, 24 min. per ep., R - 17+ (violence & profanity), 7.76, 962, 108288, 277, 251985, 4085, 8, "Action, Military, Mystery, Horror, Supernatural, Drama, Vampire, ", 14224, 133478, 18005, 16557, 69721, 251985
152, Solty Rei, TV, Original, 24, 2005-10-07, 23 min. per ep., R - 17+ (violence & profanity), 7.34, 2288, 9130, 2588, 21327, 112, 4, "Action, Sci-Fi, Super Power, ", 871, 11504, 1319, 1236, 6397, 21327
154, Shaman King, TV, Manga, 64, 2001-07-04, 23 min. per ep., PG-13 - Teens 13 or older, 7.83, 833, 120823, 344, 215892, 2828, 4, "Action, Adventure, Comedy, Supernatural, Drama, Shounen, ", 7490, 160159, 8998, 9922, 29323, 215892
156, X, TV, Manga, 24, 2001-10-03, 24 min. per ep., R+ - Mild Nudity, 7.52, 1598, 26697, 1380, 58264, 710, 6, "Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo, ", 2113, 34337, 2931, 2550, 16333, 58264
158, Maria-sama ga Miteru, TV, Light novel, 13, 2004-01-08, 24 min. per ep., PG-13 - Teens 13 or older, 7.44, 1854, 14220, 1762, 40682, 571, 6, "Slice of Life, Drama, Romance, Shoujo, Shoujo Ai, ", 1508, 18195, 1613, 2185, 17181, 40682
160, Ima, Soko ni Iru Boku, TV, Original, 13, 1999-10-14, 25 min. per ep., R - 17+ (violence & profanity), 7.75, 990, 24934, 1098, 75398, 776, 0, "Adventure, Drama, Fantasy, Military, Sci-Fi, ", 2831, 29988, 2422, 1681, 38476, 75398
162, Pita Ten, TV, Manga, 26, 2002-04-07, 24 min. per ep., G - All Ages, 7.04, 3424, 7866, 2828, 17778, 96, 3, "Comedy, Fantasy, Kids, Romance, School, Shounen, ", 622, 10568, 1031, 1382, 4175, 17778
164, Mononoke Hime, Movie, Original, 1, 1997-07-12, 2 hr. 10 min., PG-13 - Teens 13 or older, 8.8, 29, 334785, 79, 509764, 10729, 0, "Action, Adventure, Fantasy, ", 5419, 434712, 1901, 741, 66991, 509764
166, Samurai 7, TV, Other, 26, 2004-06-12, 26 min. per ep., PG-13 - Teens 13 or older, 7.57, 1438, 44602, 978, 87353, 658, 2, "Historical, Mecha, Samurai, Sci-Fi, ", 3135, 55834, 4234, 3575, 20575, 87353
168, s.CRY.ed, TV, Original, 26, 2001-07-04, 24 min. per ep., PG-13 - Teens 13 or older, 7.43, 1903, 29649, 1342, 60746, 600, 6, "Action, Sci-Fi, Adventure, Super Power, Drama, ", 1814, 38553, 2334, 2421, 15624, 60746
170, Slam Dunk, TV, Manga, 101, 1993-10-16, 23 min. per ep., PG-13 - Teens 13 or older, 8.55, 85, 55152, 753, 115274, 3430, 7, "Comedy, Sports, Drama, School, Shounen, ", 7957, 67103, 7639, 4967, 27608, 115274
174, Tenjou Tenge, TV, Manga, 24, 2004-04-02, 23 min. per ep., R - 17+ (violence & profanity), 7.05, 3392, 64688, 677, 124674, 572, 6, "Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen, ", 5055, 83270, 4922, 6713, 24714, 124674
176, Triangle Heart: Sweet Songs Forever, OVA, Unknown, 4, 2003-07-24, 28 min. per ep., PG-13 - Teens 13 or older, 6.27, 6529, 2122, 4834, 5141, 6, 6, "Adventure, Romance, ", 153, 2821, 132, 149, 1886, 5141
178, Ultra Maniac, TV, Manga, 26, 2003-05-20, 24 min. per ep., G - All Ages, 7.26, 2590, 9675, 2493, 22813, 122, 4, "Magic, Comedy, Romance, School, Shoujo, ", 959, 12872, 1231, 1329, 6422, 22813
180, Vandread, TV, Original, 13, 2000-10-03, 22 min. per ep., PG-13 - Teens 13 or older, 7.29, 2472, 34093, 1320, 61748, 395, 7, "Action, Ecchi, Mecha, Sci-Fi, Shounen, Space, ", 1492, 46130, 1550, 1909, 10667, 61748
182, Tenkuu no Escaflowne, TV, Original, 26, 1996-04-02, 24 min. per ep., PG-13 - Teens 13 or older, 7.77, 956, 46637, 876, 99684, 1823, 7, "Adventure, Psychological, Romance, Fantasy, Mecha, Shoujo, ", 3469, 59228, 4187, 3295, 29505, 99684
184, Xenosaga The Animation, TV, Game, 12, 2005-01-06, 23 min. per ep., PG-13 - Teens 13 or older, 6.44, 5861, 6536, 3034, 15421, 36, 0, "Action, Mecha, Sci-Fi, Shounen, Space, ", 505, 8530, 745, 1067, 4574, 15421
186, Initial D Second Stage, TV, Manga, 13, 1999-10-15, 23 min. per ep., PG-13 - Teens 13 or older, 8.16, 358, 46608, 1136, 72959, 311, 11, "Action, Cars, Sports, Drama, Seinen, ", 1399, 63605, 684, 391, 6880, 72959
188, Gosenzo San&#039;e, OVA, Original, 4, 1998-09-25, 30 min. per ep., Rx - Hentai, 6.25, , 503, 7385, 1560, 1, 4, "Comedy, Hentai, Mystery, Supernatural, ", 91, 735, 63, 71, 600, 1560
190, Love Hina Again, OVA, Manga, 3, 2002-01-26, 30 min. per ep., PG-13 - Teens 13 or older, 7.32, 2343, 43102, 1211, 67493, 86, 4, "Comedy, Drama, Ecchi, Romance, Shounen, ", 528, 59735, 465, 343, 6422, 67493
